,class,petal_length,petal_width,sepal_length,sepal_width
0,Iris-virginica,5.1,1.8,5.9,3.0
1,Iris-versicolor,4.5,1.5,5.4,3.0
2,Iris-setosa,1.3,0.3,5.0,3.5
3,Iris-versicolor,4.5,1.5,5.6,3.0
4,Iris-virginica,4.5,1.7,4.9,2.5
5,Iris-setosa,1.3,0.3,4.5,2.3
6,Iris-versicolor,4.9,1.5,6.9,3.1
7,Iris-versicolor,4.2,1.3,5.6,2.7
8,Iris-setosa,1.6,0.2,4.8,3.4
9,Iris-versicolor,4.5,1.5,6.4,3.2
10,Iris-virginica,5.0,1.7,6.7,3.0
11,Iris-versicolor,4.5,1.6,6.0,3.4
12,Iris-setosa,1.5,0.1,5.2,4.1
13,Iris-virginica,6.1,2.5,7.2,3.6
14,Iris-setosa,1.4,0.2,5.2,3.4
15,Iris-virginica,4.8,1.8,5.9,3.2
16,Iris-virginica,5.8,1.8,6.7,2.5
17,Iris-virginica,5.5,1.8,6.4,3.1
18,Iris-setosa,1.6,0.2,5.1,3.8
19,Iris-setosa,1.5,0.1,4.9,3.1
20,Iris-versicolor,3.9,1.2,5.8,2.7
21,Iris-virginica,5.7,2.3,6.9,3.2
22,Iris-versicolor,4.7,1.4,6.1,2.9
23,Iris-virginica,5.0,1.5,6.0,2.2
24,Iris-virginica,5.8,1.6,7.2,3.0
25,Iris-virginica,4.8,1.8,6.0,3.0
26,Iris-versicolor,4.3,1.3,6.2,2.9
27,Iris-versicolor,3.8,1.1,5.5,2.4
28,Iris-virginica,5.1,1.9,5.8,2.7
29,Iris-virginica,5.6,2.4,6.7,3.1
